Folder,Sensor,Avg_Tau,Std_Tau,Avg_Intensity,Std_Intensity,Valid_Percent,Decay_Diagnosis
0199,4,0,0,122.27816,76.00273,0,Normal decay pattern
0200,1,0,0,1538.9047,408.9284,0,Normal decay pattern
0200,2,0,0,463.43668,253.09251,0,Normal decay pattern
0200,3,0,0,4810.531,731.29974,0,Normal decay pattern
0200,4,0,0,116.878136,78.51783,0,Normal decay pattern
0201,1,0,0,1457.0754,396.80066,0,Normal decay pattern
0201,2,0,0,418.9183,234.5905,0,Normal decay pattern
0201,3,0,0,4668.2256,726.70935,0,Normal decay pattern
0201,4,0,0,105.31526,71.07376,0,Normal decay pattern
0202,1,0,0,1570.3036,413.22977,0,Normal decay pattern
0202,2,0,0,482.50604,261.30676,0,Normal decay pattern
0202,3,0,0,4852.202,734.5247,0,Normal decay pattern
0202,4,0,0,128.85664,82.0469,0,Normal decay pattern
0203,1,0,0,1546.0056,421.49872,0,Normal decay pattern
0203,2,0,0,429.88638,253.14854,0,Normal decay pattern
0203,3,0,0,4948.413,755.61914,0,Normal decay pattern
0203,4,0,0,93.94467,70.35728,0,Normal decay pattern
