ReadID,PartialType
393_Z2SFTS_1,partial_P5
394_Z2SFTS_1,partial_P5
395_Z2SFTS_1,partial_P5
396_Z2SFTS_1,partial_P5
397_Z2SFTS_1,partial_P5
398_Z2SFTS_1,partial_P5
399_Z2SFTS_1,partial_P7
400_Z2SFTS_1,partial_P5
401_Z2SFTS_1,partial_P5
404_Z2SFTS_1,partial_P5
405_Z2SFTS_1,partial_P5
406_Z2SFTS_1,partial_P5
408_Z2SFTS_1,partial_P5
410_Z2SFTS_1,partial_P5
411_Z2SFTS_1,partial_P5
412_Z2SFTS_1,partial_P5
413_Z2SFTS_1,partial_P7
415_Z2SFTS_1,partial_P5
416_Z2SFTS_1,partial_P5
417_Z2SFTS_1,partial_P5
418_Z2SFTS_1,partial_P7
419_Z2SFTS_1,partial_P7
421_Z2SFTS_1,partial_P5
422_Z2SFTS_1,partial_P5
423_Z2SFTS_1,partial_P5
424_Z2SFTS_1,partial_P7
425_Z2SFTS_1,partial_P5
427_Z2SFTS_1,partial_P5
428_Z2SFTS_1,partial_P5
429_Z2SFTS_1,partial_P5
430_Z2SFTS_1,partial_P5
431_Z2SFTS_1,partial_P7
432_Z2SFTS_1,partial_P5
433_Z2SFTS_1,partial_P7
435_Z2SFTS_1,partial_P7
436_Z2SFTS_1,partial_P5
437_Z2SFTS_1,partial_P5
438_Z2SFTS_1,partial_P7
439_Z2SFTS_1,partial_P7
440_Z2SFTS_1,partial_P5
441_Z2SFTS_1,partial_P5
442_Z2SFTS_1,partial_P5
443_Z2SFTS_1,partial_P7
445_Z2SFTS_1,partial_P5
446_Z2SFTS_1,partial_P7
447_Z2SFTS_1,partial_P5
449_Z2SFTS_1,partial_P5
450_Z2SFTS_1,partial_P5
451_Z2SFTS_1,partial_P5
452_Z2SFTS_1,partial_P5
453_Z2SFTS_1,partial_P5
454_Z2SFTS_1,partial_P5
455_Z2SFTS_1,partial_P7
456_Z2SFTS_1,partial_P7
457_Z2SFTS_1,partial_P5
459_Z2SFTS_1,partial_P5
460_Z2SFTS_1,partial_P7
461_Z2SFTS_1,partial_P5
462_Z2SFTS_1,partial_P5
464_Z2SFTS_1,partial_P7
465_Z2SFTS_1,partial_P5
466_Z2SFTS_1,partial_P7
